ID,Description,Source,Root_Form,Root_Gloss,Root_Language,Comment,Justification,revised_by,Ideophonic,Dyen,proposedAsCognateTo_pk,proposedAsCognateToScale,parallelDerivation,Root_Form_calc,Root_Language_calc,supersetid
5532,,345[401{S.v. TochB pärśeri* '(head-)louse'. Etymology unknown.}],pärśeri*,,Tocharian B,,No known etymology ([Adams 2013](src-345):401).,4,false,,,0,false,,,
5542,,"468[144{S.v. ON frykta 'befrachten' based on a loanword from MLG (cf. vrucht, vracht 'fracht, last')}]",frykta,,Old Norse,,Loans from Middle Low German (cf. [de Vries 1977](src-468):144).,4,false,,,0,false,,,
5546,,"309[587{No loanword, but inherited: The Brittonic words and Irish clúm *from Celtic *kʷluma.}];275[{Although Deshayes' suggestion is theoretically possible, it is not convincing. The supposed Celtic *kʷluma has no cognates outside Celtic, while Latin pluma does, cf. de Vaan (2003, 474).}];296[C-128{Borrowed from Lat. pluma [cognate set 999](cog-999).}]",[pluma],,Celtic,,"Generally considered a loanword from Latin ([Vendryes et al. 1959–1996](src-296) C:128) but occasionally disputed (cf. [Deshayes 2003](src-309):587). On upholding the loanword hypothesis, cf. comments by Irslinger in this class.",4,false,,,0,false,,,
5549,,334[534{S.v. parr 'feather' – Prs.}],[پر / par],,[Persian],,Unexpected vocalism points to parallel loans from Persian.,,false,,,0,false,,,
5552,,334[524{S.v. ǰaŋg- 'war' – Ar.-Prs.}],[جنگ / jang],,[Persian],,,,false,,,0,false,,,
5555,,,[ناخن / nāxun],,[Persian],,"Parallel loans from Persian ناخن / nāxun 'nail', in some cases with sound substitution kh for x; Sanskrit nakha- 'nail' also may have had influence.",,false,,,0,false,,,
5556,,,,,,,,,false,,,0,false,(ātarš),(Iranic),
5557,,"598[1: 279{Some scholars assume here a native word related to Avestan ātar- 'fire', Armenian airem 'burn', Irish áith 'oven' etc. Others consider the lexeme as a loanword from Romanian (where it can be, in turn, a loan from Albanian). The distribution of vatra/watra in Slavic and its abscence in older texts seem to support the loanword hypothesis. However, it can be still a native word (cf. Russian CS obaštritisâ 'get inflammate').}];603[1: 123-124{The word is related to Avestan ātar- 'fire' etc. and was borrowed into Slavic from Dacian.}];589[3: 569{It is a Balkan shepherd word which was probably diffused in the Serbo-Croat area by Vlachs and in the North by Romanians.}];593[701{It is a Carpathian shepherd term. It is assumed that the word was diffused by Romani language, where it could be borrowed from Iranian. It is also possible, that the word comes from substrate IE languages in the Balkans}]",vatra,,Serbo-Croat,,"A Wanderwort of obscure origin, cf. [Georgiev et al. 1971-](src-603) 1:123-124, [Rejzek 2001](src-593):701, [Skok 1971-1974](src-589) 3:569, [Vasmer 1986-1987](src-598) 1:279 for various proposals.",11,false,,,0,false,,,
5558,,,ماهى / māhi,,[Persian],,,,false,,,0,false,,,
5567,,"231[176{S.v. ScG. flùr, plùr 'flower'. ""Ir. plúr, M. Ir. plúr| from the M. Eng. flour, O. Fr. flour, Lat. florem, G. flùr is from the Scotch.""}]",flùr,,Gaelic: Scottish,,"Loanword from Scots, cf. Middle English flour, Old French flour ([Macbain & Macfarlane 1911](src-231):176).",4,false,,,0,false,,,
5568,,"84[{S.v. Engl. flower, from Middle English flour, flur, borrowed from Old French flour, flur, flor (cf. Modern French fleur).}]","flour, flur",,Middle English,,"Loanword from Old French flour, flur, flor ([Oxford English Dictionary (OED)](src-84)).",4,false,,,0,false,,,
5570,,"269[{A register-loanword into Standard Modern Greek from Katharevousa (expected †μίχλη, vel sim.). A reflex of the expected word might be found in SMG μούχλα 'mould, mildew' (Nikos Liosis, p.c.).}];271[{Cf. s.v. SMG ὀμίχλη 'fog'| for μουχλά 'mildew, mould', cf. s.v. @ http://www.greek-language.gr/greekLang/modern_greek/tools/lexica/triantafyllides/search.html?lq=%CE%BC%CE%BF%CF%85%CF%87%CE%BB%CE%B1&dq=}]",ὀμίχλη / omíchlē,,Greek: Ancient,,"A register-loanword into Standard Modern Greek from Katharevousa (expected †μίχλη, vel sim.). A reflex of the expected word might be found in SMG μούχλα 'mould, mildew' (Nikos Liosis, p.c.); cf. also respective entries in [Andriotis 1999](src-271).",4,false,,,0,false,,,
5571,,"84[{S.v. Engl. fruit, from Middle English frut, fruyt(e) (etc.), a borrowing  Old French fruit, in turn ultimately from Lat. frūctus.}]",[frūctus],,[Latin],,"Parallel loans from from Latin frūctus (or in some cases, its Old French derivative fruit).",4,false,,,0,false,,,
5572,,,[میوه / mīwah],,[Persian],,Parallel loans from Persian میوه / mīwah 'fruit'.,,false,,,0,false,,,
5573,,"105[103{S.v. Alb. fryt 'fruit', borrowed from Lat. frūctus 'fruit'.}]",frut,,Albanian,,Loan from Latin frūctus 'fruit' ([Orel 1998](src-105):103).,4,false,,,0,false,,,
5574,,600[1095{Loan from German voll.}],[voll],,[Low German],,Loan from (Low) German voll 'full' ([Polański 1962-1994](src-600):1095).,11,false,,,0,false,,,
5576,,,[سبز / sabz],,[Persian],سبز with sound substitution uj for z,Parallel loans from Persian سبز / sabz.,,false,,,0,false,,,
5577,,600[187{The word is borrowed from Middle German grö̂ne 'green'.}],grönĕ,,Polabian,,Loan from Low German grö̂ne 'green' ([Polański 1962-1994](src-600):187).,11,false,,,0,false,,,
5583,,"321[308{S.v. Wa. sar 'голова’, ’верх’, a borrowing from Tajik, Persian sar.}]",sar,,Wakhi,,Borrowing from Tajik сар / sar 'head' ([Steblin-Kamenskij 1999](src-321):308).,4,false,,,0,false,,,
5590,,600[802{Polabian svoră is borrowed from Middle Low German swâr 'heavy'.}],svoră,,Polabian,,Loanword from Middle Low German swâr 'heavy' ([Polański 1962-1994](src-600):802).,11,false,,,0,false,,,
5596,,,[شكار / šekār],,[Persian],,Parallel loans from Persian (شكار (كردن / šekār (kardan) 'to do a hunt; hunt',,false,,,0,false,,,
5597,,"468[289{S.v. ON jaga 'jagen, treiben', a (semantic?) borrowing from MLG jagen.}];97[{S.v. Da. jage, a borrowing from Middle Low German.}]",jaga,,Old Norse,,"Generally considered to be a (at least a semantic) loanword from Middle Low German ([de Vries 1977](src-468):289; no North Germanic cognates connected by [Kroonen 2013](src-165):271-272 s.v. Proto-Germanic *jakk/gōn-).
If this is only a semantic realignment by contact influence, then technically it is not to be considered a loanword in CoBL, but a semantic realignment of a still cognate word.  
But since this is analysed as a loanword from Middle Low German, by that period fragmentation of North Germanic varieties had already begun, so this is to be taken as a parallel loan.",4;2,false,,,0,false,,,
5598,,"601[2: 327-328{Kashubian jachta 'hunt', jachtowac 'to hunt' is a loanword from German, cf. German Jagd, Middle German jacht.}]",jachta,,Kashubian,,"Denominal verb derived from Kashubian jachta 'hunt' (n.), a loanword from German Jagd ([Boryś & Popowska-Taborska 1994-2010](src-601) 2:327-328).",11,false,,,0,false,,,
5609,,,hrad,,Bengali,,,,false,,,0,false,,,
5612,,"398[976-978{Cf. s.v. OHG lacha 'Sumpf, Morast, Suhle, schlammiges Wasser' from West Germanic *lakō(n). Middle English lāk(e) 'river, stream' (= 'Bach, Flüsschen') and Modern English lake 'river, stream' in archaic and dialectal language use are inherited from Western Germanic (Old English lacu f. 'river, stream'), but in the meaning 'lake' these words are a semantic borrowing from Old French lac 'lake, pit' < Latin lacus m. 'lake'. Contrary to older interpretations, Proto-Germanic *lākō(n)- is not connected to Lat. lacus, since Lat. must continue *-k̑-. The Germanic word is more likely to go back to PIE *le⁽g̑⁾- 'tröpfeln, sickern, zergehen', also attested in the Gmc. adj. *lek-e/a- 'undicht' and in the thematic present *lek-e/a- 'lecken, undicht sein' (> OHG lecken 'bewässern, benetzen'). Outside of Germanic this root is only further attested in Celtic (cf. OIr. lega* < Proto-Celtic *leg-e/o- 'schmelzen, [sich] auflösen', making the reconstruction of the original velar impossible.}];84[{S.v. Engl. lake n. (4). ""Early Middle English lac , < Old French lac, < Latin lacus basin, tub, tank, lake, pond| the popular form of the word in Old French was lai . The present English form lake (recorded from the 14th cent.) may be due to confusion with lake n.3, or perhaps rather to independent adoption of Latin lacus.""}];141[397{Cf. s.v. ?*le⁽g̑⁾- 'tröpfeln' (IEW 657), only Germanic and Celtic.}]",lac,,Middle English,,"The English word for 'lake' might be inherited from Germanic (cf. OHG lacha 'bog, mire'), but if so in the meaning 'lake' it would appear to be a semantic borrowing from Latin lacus (cf. similarly Greek: Italiot λάκκ̔ο in [cognate set 8394](cog-8394) which might be a semantic calque based on Italian); the cognate Germanic lexemes are unrelated to Lat. lacus, and probably further connected to PIE ?*le⁽g̑⁾- 'drip' (cf. [LIV²](src-141) 397), otherwise only attested in Celtic ([EWA 5](src-398):976-978). If from PIE ?*le⁽g̑⁾- 'drip' then possibly to be connected with Armenian lič in [cognate set 607](cog-607).",4,false,,607,0,false,,,
5616,,"165[321-322{Cf. s.v. Proto-Germanic *lagja- 'leg| hollow bone| stalk', an etymologically unclear North Germanic word. English 'leg' is a loanword from this etymon via its Norse descendent.}];84[{S.v. Engl. leg, a borrowing from early Scandinavian (cf. Old Icelandic leggr 'leg').}]",legge,,Middle English,,"Loanword from Early Scandinavian, cf. Old Icelandic leggr 'leg' ([Oxford English Dictionary (OED)](src-84)).",4,false,,,0,false,,,
5617,,"105[177{S.v. Alb. këmbë ~ kambë 'leg, foot', a loan from Romance *camba ~ *gamba- 'leg'.}];130[63{Loan from Lat. camba.}];571[80{S.v. Alb. këmbë, -a 'leg, foot'. Ultimately a loan from VLat. camba 'leg'. ""The relation to the Vulgar Latin form is clear but the direction of the borrowing is uncertain.""}]",këmbë,,Albanian,,"Loan from Latin *camba ~ gamba 'leg' ([Huld 1984](src-571):80, [Orel 1998](src-105):177, [Holm 2011](src-130):63).",4,false,,,0,false,,,339
5618,,260[796{It is a loanword from New High German laben.}],labowaś,,Sorbian: Lower,,Loanword from Modern High German leben 'to live' ([Schuster-Šewc 1978–1989](src-260):796).,11,false,,,0,false,,,
5619,,,[زندگى / zendegī],,[Persian],,Parallel loans from Persian (زندگى (كردن  / zendegī (kardan) 'to live'.,,false,,,0,false,,,
5620,,,[جگر / ǰigar],,[Persian],,Parallel loans into Modern Indo-Iranic languages from Persian جگر / ǰigar 'liver',,false,,,0,false,,,
5621,,,[yákr̥t],,[Sanskrit],Parallel loans from Skt. yákr̥t [lexeme 22444](lex-22444),Parallel loans into Modern Indic from Sanskrit yákr̥t 'liver'.,,false,,,0,false,,,
5624,,,[مرد / mard],,[Persian],,"Parallel loans from Persian مرد / mard 'man, person'.",,false,,,0,false,,,
5625,,600[865-866{It is a loanword from Middle German kerl 'man'.}],ťarl,,Polabian,,Loanword from Low German kerl 'man' ([Polański 1962-1994](src-600):865-866).,11,false,,,0,false,,,
5627,,,[گوشت / gūšt],,[Persian],,Parallel loans from Persian گوشت / gūšt 'meat'.,,false,,,0,false,,,
5628,,,candrámāḥ,,Sanskrit,,Parallel loans from the Sanskrit compound candrá- 'bright' [cognate set 2338](cog-2338) + mā́ḥ 'moon' [cognate set 2232](cog-2232).,,false,,,0,false,,,
5629,,600[396{It is a loanword from Middle German mân 'moon'.}],mon,,Polabian,Loan from Low German.,Loan from Low German mân 'moon' ([Polański 1962-1994](src-600):396).,11,false,,,0,false,,,
5632,,,[کوه / kūh],,[Persian],,Parallel loans from Persian کوه / kūh 'mountain'.,,false,,,0,false,,,
5633,,"84[{S.v. Engl. mountain, a borrowing from French montain, montaigne.}]",mountaine,,Middle English,,Loanword into Middle English from Old French montaigne ([Oxford English Dictionary (OED)](src-84)).,4,false,,,0,false,,,
5636,,"105[120{S.v. Alb. gojë 'mouth'. From the variant golë is is clear that this is a loanword from It. gola.}];130[72{Loan from Lat. gula. The vocalism, however, is only accounted for by assuming a late loan from It. gola.}];571[66{S.v. Alb. gojë 'mouth', a borrowing from Lat. gula. The distribution of the variant gojë argues against a late loan source.}]",gojë,,Albanian,Loanword from Italian,"Certainly a borrowing from Latin gula or Italian gola 'throat' ([Meyer 1891](src-585):126, although aspects of the loan chronology remain disputed (cf. [Huld 1984](src-571):66, [Orel 1998](src-105):120, [Holm 2011](src-130):72).",4,false,,,0,false,,,
5638,,,,,,,,,false,,,0,false,(*daf(an)),(Iranic),
5640,,,[تنگ / tang],,[Persian],,Parallel loans from Persian تنگ / tang 'narrow'.,,false,,,0,false,,,
5642,,"309[699{S.v. Bret. strizh 'étroit, strict, rigoureux, austère' from Old Breton strit 'serré, étroit| austère', borrowed from Lat. strictus.}]",strit,,Old Breton,,"Lexemes continuing Old Breton strit, a loanword from Latin strictus 'drawn together, close, strait, tight' ([Deshayes 2003](src-309):699)",4,false,,,0,false,,,
5643,,"105[298{S.v. Alb. ngushtë 'narrow', a loanword from Lat. angustus.}];585[307{S.v. Alb. nguštε 'eng| karg, geizig', a loanword from Latin angustus (cf. also Rom. îngust 'eng').}];571[98{S.v. Alb. i, e ngushtë 'narrow, mean (metaphorically)' a loan from Latin angustum 'narrow, tight' with typical Albanian loss of the pretonic vowel.}]",ngushtë,,Albanian,Loan from Latin angustus 'narrow'.,"Loanword from Latin angustus 'narrow' ([Meyer 1891](src-585):307, [Huld 1984](src-571):98, [Orel 1998](src-105):298).",4,false,,,0,false,,,
5644,,,[نزديك / nazdik],,[Persian],cf. Persian نزدیک næzdi:k - via Urdu? - outside Urdu with sound substitution j for zd,,,false,,,0,false,,,
5645,,,gardan,,Persian,,Parallel loans from Persian گردن / gardan 'neck'.,,false,,,0,false,,,
5648,,,,,,,"Loanword from within Iranic, probably via Tajik or Persian.",,false,,,0,false,keno,Sarikoli,
5649,,"105[512{S.v. Alb. vjetër 'old', a borrowing from Lat. veterem 'old'.}];571[131{S.v. Alb. vjetër 'old (of things)', semantics and final -r (never -rr) point to a loan from Latin veterem, the acc. of Lat. vetus 'old'.}];585[476{S.v. Alb. vjet , vit 'alt'| Alb. vjétεrε 'alt' is from Latin veterem.}]",vjetër,,Albanian,,"Loanword from Latin veterem 'old' (acc.sg.) ([Meyer 1891](src-585):476, [Huld 1984](src-571):131, [Orel 1998](src-105):512).",4,false,,,0,false,,,
5658,,"105[231-232{S.v. Alb. luaj ~ luej 'to move, to shake, to play'| either from Proto-Albanian *lādnja and connected with Alb. loz (to be etymologically connected with Slav. Iadъ 'order, peace'), or a borrowing from Lat. lūdere 'to play' (so [Meyer 1891](src-585):248).}];585[248-249{S.v. Alb. l'os 'spiele, bewege, reize', certainly a loanword from Latin ludere.}]",luaj,,Albanian,,"Loan from Latin lūdere 'to play' ([Meyer 1891](src-585):242-243, cf. [Orel 1998](src-105):231-232).",4,false,,,0,false,,,
5659,,,[بازى / bāzi],,[Persian],,,,false,,,0,false,,,
5660,,,[spelen],,[Middle Low German],,Parallel loans from Middle Low German.,8,false,,,0,false,,,
5662,,"97[{S.v. Da. trække, a borrowing from Middle Low German trecken.}]",[trecken],,[Middle Low German],,Parallel loans from Middle Low German trecken 'to pull' (cf. [Den Danske Ordbog](src-97)).,4,false,,,0,false,,,
5663,,"84[{S.v. Engl. push, a loan from Anglo-Norman and Old French, Middle French pousser.}]",pusche,,Middle English,,"Loanword from Anglo-Norman, cf. Old French, Middle French pousser 'to push' ([Oxford English Dictionary (OED)](src-84)).",4,false,,,0,false,,,
5664,,"309[595-596{S.v. Bret. pouls 'pouls, pousse, bourgeon| mal, toux'| from Old Breton  puls, corresponding to Co. pols 'battement de cœur, moment, instant', both words borrowed from Lat. pulsus 'pouls'.}]",puls,,Old Breton,,"Loan from Latin pulsus 'a pushing, beating, striking' ([Deshayes 2003](src-309):595-596)",4,false,,,0,false,,,
5665,,"309[127{S.v. Bret. bou(n)t 'poussé', a borrowing from Old French boute 'coup', deverbal from bouter 'heurter, pousser'.}]",bou(n)taff,,Middle Breton,,"Based on Bret. bou(n)t, a loanword from Old French boute (deverbal from Old French bouter 'hit, push').",4,false,,,0,false,,,
5667,,,[باران / bārān],,[Persian],,,,false,,,0,false,,,
5668,,"442[186{S.v. 3585 Skt. kravyá- 'bloody, raw' TS., n. 'raw flesh, carrion' Nir. 2. *kraviya- . [kráviṣ-] (2. > Kho. krui 'red, bloodshot, reddish brown, auburn, crimson').}];274[444-448{Cf. s.v. *kreu̯h₂- '(geronnenes) Blut, Blut außerhalb des Korpers' (IEW 621f.)}];172[I:411{S.v. Ved. kraviṣ- 'rotes, blutiges Fleisch', from PIE *kreu̯h₂-s- from *kreu̯h₂- ~ *kruh₂- with which AGk. κρέας 'Fleisch' is identical. Closely related is also Lat. cruor 'rotes, dickes Blut', Lith. kraũjas 'Blut', OPol. kry, etc.}]",*kreu̯h₂-,,Proto-Indo-European,,"Modern Indic lexemes as though from Sanskrit *kraviya- 'bloody, raw' [Turner 1962–1966](src-442):186 no. 3585), cf. Vedic kraviṣ- 'red, bloody flesh', ultimately from PIE *kreu̯h₂-s-, a derivative of *kreu̯h₂- '(clotted) blood, blood outside of the body' ([NIL](src-274) 444-448, [EWAia](src-172) I:411).",4,false,,,0,false,,,167
5669,,,[سرخ / sorx],,[Persian],,Loanword from Persian سرخ / sorx 'red'.,,false,,,0,false,,,
5673,,,[راست / rāst],,[Persian],,Parallel loans from Persian راست / rāst 'right'.,,false,,,0,false,,,
5674,,600[634-635{It is a loanword from Middle German recht or its derivative.}],rexťă,,Polabian,,Loanword from Low German recht 'right' ([Polański 1962-1994](src-600):634-635).,11,false,,,0,false,,,
5677,,,[vlot],,[Middle Low German],,(Parallel?) loan from Middle Low German.,,false,,,0,false,,,
5684,,"345[657-658{S.v. TochB witsako 'root', probably (with [van Windekens 1976](src-76):644) a borrowing from Iranian *vityaka- or *vaityaka- 'root' (cf. Av. vāeti-, Pers. bēd) or *vaitāka- (Oss. uedāgä), although there is a lack of exact Iranian parallels and one may have expected *-ty- to yield Tocharian -cc-. Assuming Middle Iranian *wīδikā- (Winter 1971:222, [Tremblay 2005](src-732):426) makes things a bit easier, but -δ- > -ts- is still formally difficult.}]",witsako,,Tocharian B,,"Generally assumed to be a loan from (early) Middle Iranian, cf. [Tremblay 2005](src-732):426, [Adams 2013](src-345):657-658 for recent discussions and references to further literature.",4,false,,,0,false,,,
5696,,"84[{S.v. Engl. rotten, apparently a borrowing from early Scandinavian (cf. Old Icelandic rotinn).}]",rotin,,Middle English,,"Loan from early Scandinavian, cf. [Oxford English Dictionary (OED)](src-84).",4,false,,,0,false,,,
5697,,"84[{S.v. Engl. round (adj.), a borrowing from Anglo-Norman rund, runt.}];397[777-778{S.v. NHG rund (MHG runt), a borrowing from French ronde 'Tafelrunde'.}];97[{S.v. Da. rund, from Middle Low German 'runt', in turn from Lat. rotundus.}];392[{S.v. Sw. rund, from OSw. runder, a borrowing from MLG runt.}]","ront, reond, rond",,Old French,,"The North Germanic lexemes in this set are likely to be loans from Middle Low German, of a word originally borrowed from Old French.

See the other loan event cognate sets that also go back to this same Old French source:
[cognate set 9688](cog-9688) in Dutch;  
[cognate set 9689](cog-9689) in Upper German, 
[cognate set 9690](cog-9690) as a parallel loan into English and Frisian

Cf. [Den Danske Ordbog](src-97). [Kluge 2011](src-397):777-778, [Oxford English Dictionary (OED)](src-84), [Svenska Akademiens ordbok](src-392)).",4;2,false,,,0,false,,,
5698,,"309[632{S.v. Bret. ront 'rond', a borrowing from French roont (1155), ultimately from Lat. rotundum.}]",ront,,Middle Breton,,Loan from Old French roont ([Deshayes 2003](src-309):632).,4,false,,,0,false,,,
5706,,,[نمک / namak],,[Persian],,Parallel loans from Persian نمک / namak 'salt'.,,false,,,0,false,,,
5712,,,dâri′op,,Kâmviri,,Loan from Middle Persian.,,false,,,0,false,,,
5713,,,,,,,Loan from Persian تخم / toxm 'seed'.,,false,,,0,false,(تخم / toxm),(Iranic),
5714,,354[135{Cf. Middle Low German sât.}],sot,,Polabian,,"Loan from Low German, cf. Middle Low German sât 'seed' ([Polański & Sehnert 1967](src-354):135).",11,false,,,0,false,,,
5716,,,[تیز / tīz],,[Persian],,"Parallel loans from Persian, cf. Persian: Tehran تیز / tīz 'sharp'.",,false,,,0,false,,,
5717,,"600[806{It is a loanword from Middle Low German scharp, scherp.}]",šarp,,Polabian,,"Loan from Middle Low German scharp, scherp 'sharp' ([Polański 1962-1994](src-600):806).",11,false,,,0,false,,,
5718,,,,,,,,,false,,,0,false,keet,(Iranic),
5719,,"468[327{S.v. ON kortr, kurtr 'kurz' < MLG kort < Lat. curtus.}]",kortr,,Old Norse,,"Modern North Germanic lexemes from Old Norse kortr, a loan from Middle Low German (cf. [de Vries 1977](src-468):327 s.v. kortr, kurtr).",4,false,,,0,false,,,
5720,,"105[425{S.v. Alb. shkurt 'short', borrowed from Gmc. *skurtaz 'short' (cf. OHG scurz, OE sceort).}]",shkurt,,Albanian,,"According to [Orel 1998](src-105):425, a loanword from Germanic *skurta- 'short'.",,false,,,0,false,,,
5721,,"105[178{S.v. Alb. këndoj 'to sing'. A loan from Lat. cantāre 'sing'.}];585[187{S.v. Alb. kεndóń 'singe, krähe lese, studiere', from Latin cantāre.}];571[80{S.v. Alb. këndoj 'sing', a loan from Latin cantāre.}]",këndoj,,Albanian,,"Loanword from Latin cantāre 'sing' ([Meyer 1891](src-585):187, [Huld 1984](src-571):80, [Orel 1998](src-105):178)",4,false,,,0,false,,,
5722,,,,,,,"Parallel loans from Persian, cf. Middle Persian pwst / põst 'skin', Persian: Tehran پوست	 / pūst 'id.'.",,false,,,0,false,(pōst),(IndoIranic),
5724,,"84[{S.v. Engl. skin, a loan from early Scandinavian (cf. Old Icelandic skinn, Old Norwegian skinn (Norwegian skinn), Old Swedish skin (Swedish skinn), Old Danish skindh, skin (Danish skind ), all in sense ‘skin, hide, fur’).}]",sc(h)ynn,,Old English,,"A loan from early Scandinavian (cf. Old Norse skinn), already attested in Old English schynn, scynn, scin ([Oxford English Dictionary (OED)](src-84)).",4,false,,,0,false,,,
5725,,"602[6: 432, 436{Taking into account its phonetic form and the geographical distribution, it is most probably a loanword from Polish.}];607[12: 167{The root vowel -u- points to a Polish origin.}]",[skóra],,[Polish],,"Parallel loans from Polish skóra 'skin' (cf. [Martynaǔ, Cyhun et al. 1978-](src-607) 12:167, [Mel'ničuk et al. 1982-2012](src-602) 6:432, 436",11,false,,,0,false,,,
5726,,"84[{S.v. Engl. sky, a borrowing from early Scandinavian (cf. Old Icelandic ský 'cloud').}]",skī(e),,Middle English,Loan from early Scandinavian,,4,false,,,0,false,,,
5728,,296[S:177{S.v. OIr. spéir 'sphère' loanword either from sphaera or Franco-Norman spere.}],spéir,,Old Irish,,Loanword from either Latin sphaera or Norman French spere ([Vendryes et al. 1959–1996](src-296) S:177),4,false,,,0,false,,,
5730,,"105[360{S.v. Alb. qiell 'sky, heaven', borrowed from Lat. caelum 'id.'.}];571[107{S.v. Alb. qiell, -i 'sky, heavens', long recognised as a borrowing from Lat. caelum [Huld prints coelum], 'sky, heaven', so Meyer (1891:225-226) and others.}];585[225-226]",qiell,,Albanian,Loan from Latin,"Loan from Latin caelum 'sky' ([Meyer 1891](src-585):225-226, [Huld 1984](src-571):107, [Orel 1998](src-105):360).",4,false,,,0,false,,,
5732,,"309[643{S.v. Bret. sant 'sensation', deverbal from santañ (santaff 1499), santiñ, santoud 'sentir| (se) ressentir', borrowings from Old French sentir, ultimately from Lat. sentire.}]","santaff, santout",,Middle Breton,,Loanword from Old French sentir 'to perceive' ([Deshayes 2003](src-309):643).,4,false,,,0,false,,,
5735,,,[هموار / hamwār],,[Persian],,"Parallel loans from Persian هموار / hamwār 'smooth, flat, level'",,false,,,0,false,,,
5736,,415[478{Loan from New High German.}],[glatt],,[Middle Low German],,Parallel loans from Middle Low German glatt 'smooth'.,,false,,,0,false,,,
5737,,"468[513{S.v. ON slangi 'Schlange', a loan from Low German slange.}]",slangi,,Old Norse,,"North Germanic lexemes continuing Old Norse slangi, a loan from Middle Low German slange 'snake' ([de Vries 1977](src-468):513).  But if the source is as late as Middle Low German, then the Icelandic and Danish lineages should be considered by then already divergent, and therefore this is a parallel loan.",4;2,false,,,0,false,,,
5738,,,[برف / barf],,[Persian],,Parallel loans into Modern Indic from Persian برف / barf 'snow' (cf. [cognate set 126](cog-126)).,4,false,,,0,false,,,
5743,,"231[31{S.v. ScG. bat, bata 'stick', Ir. bata| from MEng. batte 'stick', now 'bat', which is in turn from OFr. batte, from Gaul. Lat. battuere. Bret. baz seems borrowed from Fr. though it may be native.}]",bata,,Middle Irish,,"A loan from Middle English batte, in turn borrowed from Old French batte ([Macbain & Macfarlane 1911](src-231):31)",4,false,,,0,false,,,
5751,,,,,,,,,false,,,0,false,rost,Wakhi,
5754,,"130[83{Rejects the loan hypothesis unquestioningly followed by Orel (1998:301) due to atypical features, preferring the solution of Huld (1984:148) who derives directly from PIE *(s)neh₂- (cf. LIV² 572 without Albanian forms listed) Alb. notim < *(s)néh₂-t-imo-.}];105[301{S.v. Alb. notoj 'to swim'. O. follows the hypothesis of a borrowing from Romance *notāre replacing Classical *natāre (so Meyer 1891:311).}];571[148{In the section on sound-changes Huld rather derives earlier notim 'swimming' < PIE *snéAt-imo-.}];585[311];269[{Two possibilities: Either (1) as a loan from Romance *notāre (with irregular root vocalism from Lat. natāre 'swim', so [Meyer 1891](src-585):311, [Orel 1998](src-105):301), or – perhaps better – (2) directly derived to PIE *(s)neh₂- (so [Huld 1984](src-571):148, [Holm 2011](src-130):83). No discussion in [Demiraj 1997](src-369) or [Schumacher & Matzinger 2013](src-364).}]",notoj,,Albanian,,"Two possibilities: Either (1) as a loan from Romance *notāre (with irregular root vocalism from Lat. natāre 'swim', so [Meyer 1891](src-585):311, [Orel 1998](src-105):301), or – perhaps better – (2) directly derived to PIE *(s)neh₂- (so [Huld 1984](src-571):148, [Holm 2011](src-130):83). No discussion in [Demiraj 1997](src-369) or [Schumacher & Matzinger 2013](src-364).",4,false,,535,2,false,,,
5755,,392,[swanz],,[Middle Low German],,"Parallel loans from Middle Low German swanz 'trailer; tail, penis' (cf. [Svenska Akademiens ordbok](src-392)).",4,false,,,0,false,,,
5762,,"309[677{S.v. Bret. soñj 'pensée, idée, intention, souvenir', a borrowing from an Old French continuant of Lat. somnium, derived verb soñjal 'penser, réfléchir, songer'.}]",songal,,Middle Breton,,Loan from Old French songer (cf. [Deshayes 2003](src-309):677).,4,false,,,0,false,,,
5763,,"386[579{Northern Germanic forms with -nk- show same meaning as Middle Low Dutch denken 'think, remember', thus probably loan from Low German (""Ndd."").}];97[{S.v. Da. tænke, from Middle Low German denken.}];392[{S.v. Sw. tänka, just as Da. tænke a borrowing from MLG denken.}]",[denken],,[Low German],,"Parallel loan event from Middle Low German denken 'to think, remember' (cf. [EWA 2](src-386) 579).",8;4,false,,,0,false,,,
5765,,,[درخت / deraxt],,[Persian],,,,false,,,0,false,,,
5767,,"84[{S.v. Engl. turn, from Old English tyrnan, turnian, both borrowings from Latin tornāre 'to turn in a lathe, round off'.}]",tyrnian,,Old English,,,4,false,,,0,false,,,
5768,,"97[{S.v. Da. dreje, borrowed from MLG dreien.}]",dreje,,Danish,,Loan from Middle Low German dreien 'to turn'.,4,false,,,0,false,,,
5775,,,[گرم / garm],,[Persian],,Parallel loans from Persian گرم  / garm 'hot'.,,false,,,0,false,,,
5776,,"468[648{S.v. ON vaska 'waschen', probably a borrowing from Middle Low German waschen.}]",vaska,,Old Norse,,"Since the source is as late as Middle Low German, then the Faroese and Danish lineages should be considered by then already divergent, and therefore this is a parallel loan.",4,false,,,0,false,,,
5779,,,[سفید / safēd],,[Persian],"Parallel loans from Persian (after p > f, but before ē > ī)",,,false,,,0,false,,,
5781,,,kṣ̌od,,Wakhi,,,,false,,,0,false,,,
5784,,334[520{S.v. dǝ'ma [...] — Prs.}],dama,,Wakhi,,,,false,,,0,false,,,
5785,,,پر / par,,Urdu,,,,false,,,0,false,,,
